Piladora;Latitud;Longitud;Produccion Lbs
Piladora Gloria Matilde;-1.877144;-79.986313;15486,00
Piladora Yanco;-1.882472;-79.983788;30,00
Piladora Santa Clara;-1.835461;-79.978638;30,00
Piladora Katty Nicolk;-1.796984;-79.990654;30,00
Piladora Voluntad de Dios;-1.794140;-79.993240;30,00
Piladora la dorada;-1.785313;-79.997643;30,00
Piladora Nacho;-1.778665;-79.995285;30,00
Piladora Brito y Espinoza;-1.766532;-79.991364;30,00
Piladora Mary Joe;-1.762916;-79.990486;30,00
Piladora Fatima;-1.753775;-79.988594;30,00
Piladora Santa Lucia;-1.748100;-79.987122;15486,00
